100 1000
item1 22 187
item2 154 228
item3 272 140
item4 36 52
item5 127 289
item6 94 293
item7 119 252
item8 154 105
item9 160 209
item10 262 281
item11 73 60
item12 115 172
item13 272 190
item14 177 120
item15 204 107
item16 58 165
item17 80 161
item18 175 91
item19 150 53
item20 255 144
item21 197 199
item22 93 255
item23 100 121
item24 204 156
item25 295 260
item26 80 118
item27 58 94
item28 64 291
item29 277 280
item30 255 281
item31 236 185
item32 176 21
item33 123 220
item34 17 153
item35 197 248
item36 25 268
item37 213 175
item38 164 178
item39 70 161
item40 208 271
item41 46 280
item42 264 262
item43 264 57
item44 145 177
item45 216 296
item46 220 295
item47 24 99
item48 199 58
item49 208 146
item50 242 11
item51 293 79
item52 100 12
item53 44 241
item54 274 40
item55 14 168
item56 245 57
item57 73 124
item58 96 72
item59 69 246
item60 216 184
item61 208 278
item62 2 12
item63 96 158
item64 177 117
item65 99 258
item66 235 219
item67 178 278
item68 137 137
item69 121 262
item70 168 242
item71 241 151
item72 196 217
item73 211 263
item74 60 261
item75 40 50
item76 148 13
item77 80 70
item78 144 124
item79 172 179
item80 228 115
item81 101 280
item82 158 261
item83 51 139
item84 21 288
item85 180 171
item86 31 132
item87 266 43
item88 272 236
item89 83 8
item90 62 62
item91 82 2
item92 145 213
item93 16 89
item94 201 169
item95 69 19
item96 95 224
item97 75 131
item98 202 279
item99 80 136
item100 78 224
